ts,tps,cum_tps,r_iops,w_iops,hit_ratio,hit_ratio_gc,edt_gap,rmb_s,wmb_s,ewmb_s,cpwmb_s,dwbw_mb,gcwmb_s,gcrmb_s,valid_ratio,comp_ratio,logmb_s,wal_sz,db_sz,alloc_sz,mem_mb,cum_flash_wmb,db_waf,ssd_run_waf,ssd_cum_waf,version
115,133947,11674600,65513,132336,0.916,0.000,0,255.910,516.938,255.309,0.000,261.629,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110436.836,116544.156,2.000,1.997,1.999,0
116,133710,11808310,65499,130645,0.916,0.000,0,255.855,510.332,257.094,0.000,253.238,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,117542.344,2.000,1.956,1.999,0
117,134178,11942488,65485,130369,0.916,0.000,0,255.801,509.254,255.945,0.000,253.309,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,118560.938,2.000,2.000,1.999,0
118,134087,12076575,65521,125187,0.916,0.000,0,255.941,489.012,246.277,0.000,242.734,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,119544.398,2.000,2.011,1.999,0
119,126301,12202876,61416,127814,0.916,0.000,0,239.906,499.273,250.953,0.000,248.320,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,120548.562,2.000,2.011,1.999,0
120,133542,12336418,65449,127004,0.916,0.000,0,255.660,496.109,243.188,0.000,252.922,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,121549.641,2.000,2.018,1.999,0
121,134775,12471193,65462,130837,0.916,0.000,0,255.711,511.082,258.387,0.000,252.695,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,122582.180,2.000,2.020,1.999,0
122,135149,12606342,65488,128270,0.917,0.000,0,255.812,501.055,247.656,0.000,253.398,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,123566.398,2.000,1.964,1.999,0
123,135097,12741439,65482,127157,0.917,0.000,0,255.789,496.707,249.008,0.000,247.699,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,124568.047,2.000,2.017,1.999,0
124,133143,12874582,64328,127004,0.917,0.000,0,251.281,496.109,253.258,0.000,242.852,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110438.336,125553.281,2.000,1.986,1.999,0
